"","type1","name1","type2","name2"
"8415","LINE","MusHAL1","protein_coding","Sox6"
"8416","protein_coding","Trip12","protein_coding","Nfat5"
"8417","LINE","L1Md_F2","rRNA_repeat","LSU-rRNA_Hsa"
"8418","protein_coding","Jarid2","protein_coding","Filip1l"
"8419","SINE","RSINE1","protein_coding","Cdc5l"
"8420","LTR","IAPLTR2a","protein_coding","Zbtb20"
"8421","LTR","IAPEz-int","LTR","IAPEz-int"
"8422","protein_coding","Abhd13","SINE","ID_B1"
"8423","protein_coding","Pygo2","protein_coding","Anapc16"
"8424","protein_coding-noncoding","Akr1a1","protein_coding","Slc35f1"
"8425","LTR","IAPLTR2a","protein_coding","Sacm1l"
"8426","LTR","IAPEz-int","protein_coding","Fto"
"8427","LTR","IAPLTR2a","LINE","Lx3_Mus"
"8428","antisense","Gm4876","Simple_repeat","(TC)n"
"8429","protein_coding","Palm2","protein_coding","Snrpa"
"8430","LTR","IAPLTR2a","LTR","IAPEz-int"
"8431","LTR","IAPEz-int","SINE","B1_Mur4"
"8432","protein_coding","Fut8","protein_coding","Sacm1l"
"8433","protein_coding","Zc3h7a","LINE","L1Md_T"
"8434","SINE","MIRc","protein_coding","Ntm"
"8435","LTR","IAPEz-int","LTR","IAPEz-int"
"8436","lincRNA","Gm14243","protein_coding","Cyp2d9"
"8437","LTR","IAPEz-int","LTR","IAPEz-int"
"8438","LTR","IAPEz-int","rRNA_repeat","LSU-rRNA_Hsa"
"8439","LTR","IAPEz-int","LTR","IAPEz-int"
"8440","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Map3k1"
"8441","LTR","IAPEz-int","LTR","IAPEz-int"
"8442","protein_coding","Zc3h7a","LTR","IAPEz-int"
"8443","rRNA_repeat","SSU-rRNA_Hsa","LTR","IAPEz-int"
"8444","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"8445","protein_coding","Sacm1l","DNA","URR1B"
"8446","antisense","Gm15288","LINE","Lx7"
"8447","protein_coding","Gm10343","protein_coding","Pop1"
"8448","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Sacm1l"
"8449","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Map3k1"
"8450","protein_coding","Pcdh9","protein_coding","Eftud1"
"8451","LTR","IAPEz-int","LTR","ORR1A2"
"8452","LTR","IAPEz-int","protein_coding","Negr1"
"8453","protein_coding","Sacm1l","LINE","L1_Mus2"
"8454","protein_coding","C230081A13Rik","rRNA_repeat","LSU-rRNA_Hsa"
"8455","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"8456","protein_coding","Pdia4","protein_coding","Trpm3"
"8457","rRNA_repeat","SSU-rRNA_Hsa","LTR","IAPEz-int"
"8458","LTR","IAPEz-int","LTR","RMER19C"
"8459","protein_coding","Cnih2","rRNA_repeat","LSU-rRNA_Hsa"
"8460","protein_coding","Sacm1l","protein_coding","Sox6"
"8461","LTR","IAPEz-int","protein_coding","Phtf2"
"8462","protein_coding-noncoding","Fstl1","DNA","RCHARR1"
"8463","LTR","IAPEz-int","LTR","IAPEz-int"
"8464","protein_coding","Zfp398","protein_coding","Fam114a1"
"8465","LTR","IAPEz-int","protein_coding","Prcc"
"8466","LINE","L1Md_F","protein_coding","Chrnb1"
"8467","LTR","IAPEz-int","LTR","IAPEz-int"
"8468","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Tnxb"
"8469","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Jarid2"
"8470","SINE","RSINE1","SINE","B1_Mus2"
"8471","LTR","IAPEz-int","pseudogene","Gm12856"
"8472","protein_coding","Myo1d","protein_coding","Tdrd7"
"8473","protein_coding","2310045N01Rik","LTR","RLTR33"
"8474","protein_coding","Ube3b","rRNA_repeat","LSU-rRNA_Hsa"
"8475","LINE","L1Md_F2","protein_coding","Oas1f"
"8476","LTR","IAPEz-int","LTR","IAPEz-int"
"8477","LTR","MTD","protein_coding","Setdb1"
"8478","protein_coding","Cog5","protein_coding","Csrnp3"
"8479","LTR","IAPEz-int","LTR","IAPEz-int"
"8480","LINE","L1Md_F2","protein_coding","Kcnd2"
"8481","LTR","IAPEz-int","protein_coding","Cdh23"
"8482","protein_coding","Camk1d","protein_coding","Scara5"
"8483","protein_coding","Sacm1l","protein_coding","Dlgap1"
"8484","protein_coding","Dgki","LINE","L1_Mur2"
"8485","protein_coding","Fut8","protein_coding","Sacm1l"
"8486","lincRNA","Gm12603","protein_coding","Gm7271"
"8487","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","C230081A13Rik"
"8488","protein_coding","Wdr64","protein_coding","Gabra5"
"8489","protein_coding","Fut8","protein_coding","Sacm1l"
"8490","LTR","IAPEz-int","LTR","IAPEz-int"
"8491","LTR","IAPEz-int","protein_coding","Kcnip4"
"8492","protein_coding","Csmd1","LINE","L1_Mus4"
"8493","protein_coding","Fbxl20","LTR","RLTR13A"
"8494","LTR","IAPEz-int","LTR","IAPEz-int"
"8495","protein_coding","Sacm1l","LINE","L1M5"
"8496","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Atxn10"
"8497","protein_coding","Epha3","protein_coding","Gjb4"
"8498","protein_coding","Fam49a","protein_coding","Hspbap1"
"8499","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Map3k1"
"8500","protein_coding-noncoding","Plbd2","antisense","Gm11491"
"8501","protein_coding","Arhgap15","protein_coding-noncoding","Tyms"
"8502","protein_coding","Sppl3","protein_coding","Pgbd5"
"8503","protein_coding","Sacm1l","protein_coding","Terf2"
"8504","protein_coding","Kalrn","Other","RMER1B"
"8505","LTR","IAPEz-int","LTR","IAPEz-int"
"8506","protein_coding","Dlg2","protein_coding","Frmd4a"
"8507","protein_coding","Kalrn","LTR","IAPEz-int"
"8508","protein_coding","Qtrtd1","lincRNA","Rian"
"8509","SINE","B1_Mm","protein_coding","Meig1"
"8510","protein_coding","Atxn10","LINE","Lx2B"
"8511","protein_coding","Rims1","protein_coding","Mef2c"
"8512","LINE","L1Md_A","protein_coding","Duox2"
"8513","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"8514","LINE","L1VL2","protein_coding","Fermt2"
"8515","rRNA_repeat","LSU-rRNA_Hsa","rRNA_repeat","LSU-rRNA_Hsa"
"8516","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Map3k1"
"8517","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Jarid2"
"8518","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Map3k1"
"8519","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Map3k1"
"8520","LTR","IAPEz-int","LINE","Lx3_Mus"
"8521","SINE","B4A","protein_coding","Zfp395"
"8522","protein_coding","Arid1b","Simple_repeat","(TCTCC)n"
"8523","LTR","IAPEz-int","LTR","IAPEz-int"
"8524","lincRNA","Gm6225","protein_coding-noncoding","Atic"
"8525","protein_coding","Lama2","protein_coding","Accn1"
"8526","protein_coding","Heg1","SINE","B4A"
"8527","protein_coding","Zc3h7a","LINE","L1Md_T"
"8528","protein_coding","0610011L14Rik","LTR","IAPEz-int"
"8529","LTR","IAPEz-int","protein_coding","Sacm1l"
"8530","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Sacm1l"
"8531","protein_coding","Itga9","protein_coding","Dlgap1"
"8532","LTR","IAPEz-int","LTR","IAPEz-int"
"8533","protein_coding","Arhgef33","LINE","Lx7"
"8534","LINE","L1_Mur3","SINE","B1_Mur4"
"8535","protein_coding","Gria4","protein_coding","Txk"
"8536","antisense","Gm15564","protein_coding","Sacm1l"
"8537","protein_coding","Sacm1l","protein_coding","Dlgap1"
"8538","protein_coding","Lmbr1l","LTR","IAPEz-int"
"8539","protein_coding","Sppl3","pseudogene","Gm3828"
"8540","protein_coding","Dgki","SINE","MIRc"
"8541","protein_coding","Ccdc66","LINE","L1Md_F2"
"8542","LTR","IAPEz-int","LTR","IAPEz-int"
"8543","protein_coding","Gpc6","processed_transcript","5830428H23Rik"
"8544","protein_coding","Rnf111","protein_coding","Spg11"
"8545","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Wnt8b"
"8546","protein_coding","Cabp4","protein_coding","Brwd3"
"8547","protein_coding","Ksr2","protein_coding","Msra"
"8548","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","C230081A13Rik"
"8549","SINE","B2_Mm2","LTR","IAPEz-int"
"8550","LTR","IAPEz-int","LTR","IAPEz-int"
"8551","LINE","L1VL4","protein_coding","Kcnb2"
"8552","LTR","IAPEz-int","LINE","L1_Mus2"
"8553","LTR","IAPLTR2a","lincRNA","Malat1"
"8554","LTR","IAPEz-int","LTR","IAPEz-int"
"8555","protein_coding","Ncoa2","LTR","RMER17D2"
"8556","LTR","IAPEz-int","protein_coding","Dgki"
"8557","protein_coding","Sav1","protein_coding","Fam76b"
"8558","protein_coding","Dnahc9","LTR","IAPEz-int"
"8559","protein_coding","Pdzrn4","protein_coding","Limch1"
"8560","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Sacm1l"
"8561","LTR","IAPEz-int","LTR","IAPEz-int"
"8562","LTR","IAPEz-int","protein_coding","Trappc9"
"8563","SINE","B4","protein_coding","Bcas3"
"8564","rRNA_repeat","LSU-rRNA_Hsa","LINE","L1Md_T"
"8565","LTR","IAPLTR2a","protein_coding","Lrp1"
"8566","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Map3k1"
"8567","protein_coding","Zfp398","protein_coding","Sacm1l"
"8568","rRNA_repeat","LSU-rRNA_Hsa","LINE","L1Md_T"
"8569","protein_coding","Ankib1","protein_coding","AI848100"
"8570","LINE","L1Md_T","miRNA","mmu-let-7c-5p"
"8571","protein_coding","Ptprt","protein_coding","Lingo1"
"8572","protein_coding","Nudt13","LTR","MTEa"
"8573","LTR","IAPEz-int","LTR","IAPEz-int"
"8574","LTR","IAPEz-int","protein_coding","Sacm1l"
"8575","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Sae1"
"8576","LTR","IAPEz-int","LTR","IAPEz-int"
"8577","protein_coding","Zmym4","protein_coding","Xkr6"
"8578","protein_coding","Cntn3","protein_coding","Kcnip4"
"8579","protein_coding","Sacm1l","LTR","IAPLTR1_Mm"
"8580","protein_coding","Foxn1","LTR","IAPEz-int"
"8581","protein_coding","Map3k1","rRNA_repeat","LSU-rRNA_Hsa"
"8582","protein_coding","Gm7247","LTR","IAPEz-int"
"8583","LTR","IAPEz-int","protein_coding","Ttc8"
"8584","LTR","IAPEz-int","LTR","IAPEz-int"
"8585","LTR","IAPEz-int","LTR","IAPEz-int"
"8586","LINE","L1_Mur3","SINE","B1_Mur4"
"8587","protein_coding","Sacm1l","rRNA_repeat","LSU-rRNA_Hsa"
"8588","LTR","IAPEz-int","LTR","IAPEz-int"
"8589","LTR","IAPEz-int","LTR","IAPEz-int"
"8590","LTR","IAPEz-int","LTR","IAPEz-int"
"8591","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"8592","LTR","IAPEz-int","protein_coding","Tgfbr3"
"8593","protein_coding","4930519F16Rik","protein_coding","Map3k1"
"8594","LTR","IAPLTR2a","protein_coding","Fli1"
"8595","protein_coding","Fam155a","Satellite","GSAT_MM"
"8596","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Camk1d"
"8597","protein_coding","Zfp398","protein_coding","Hmox2"
"8598","LTR","MMERVK10C-int","LTR","MurERV4_19-int"
"8599","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"8600","protein_coding","Sacm1l","protein_coding","Dlgap1"
"8601","rRNA_repeat","LSU-rRNA_Hsa","LTR","IAPEz-int"
"8602","protein_coding","C130026I21Rik","protein_coding","Grk1"
"8603","LTR","IAPEz-int","LTR","IAPEz-int"
"8604","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Map3k1"
"8605","protein_coding","Map3k1","rRNA_repeat","LSU-rRNA_Hsa"
"8606","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"8607","protein_coding","Sacm1l","protein_coding","Dlgap1"
"8608","protein_coding","Lrp1b","protein_coding","Ldb2"
"8609","LINE","Lx3C","protein_coding","Sacm1l"
"8610","protein_coding","Sacm1l","protein_coding","Camk1d"
"8611","LTR","IAPEz-int","protein_coding","Gm97"
"8612","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Sacm1l"
"8613","protein_coding","Sacm1l","rRNA_repeat","LSU-rRNA_Hsa"
"8614","protein_coding","Fut8","protein_coding","Sacm1l"
"8615","LTR","IAPEz-int","protein_coding","Btbd10"
"8616","lincRNA","Malat1","protein_coding","Sacm1l"
"8617","protein_coding","Baz2a","antisense","Gm13561"
"8618","protein_coding","Rnf38","LINE","L1MA7"
"8619","protein_coding","Sema6b","protein_coding","Jak2"
"8620","protein_coding","Sacm1l","protein_coding","Mtus2"
"8621","LTR","IAPEz-int","LTR","IAPEz-int"
"8622","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"8623","LTR","IAPEz-int","LTR","IAPEz-int"
"8624","protein_coding","Fut8","protein_coding","Sacm1l"
"8625","SINE","RSINE1","protein_coding","Sacm1l"
"8626","protein_coding","Nubpl","protein_coding","Gm10256"
"8627","protein_coding","Sema6b","protein_coding","Jak2"
"8628","protein_coding","Camk1d","LINE","Lx2B"
"8629","protein_coding","Ankrd33b","protein_coding","Pbx1"
"8630","LTR","IAPEz-int","LTR","MT2C_Mm"
"8631","protein_coding","Fut8","protein_coding","Sacm1l"
"8632","LTR","MTE-int","protein_coding","Hspa9"
"8633","SINE","B3","LINE","Lx3C"
"8634","protein_coding","Wdfy2","protein_coding","Gpatch2"
"8635","LTR","IAPLTR2a","LINE","L1_Mus1"
"8636","protein_coding","0610011L14Rik","protein_coding","Tmem199"
"8637","protein_coding","Bai3","DNA","MER45C"
"8638","protein_coding","Cntn4","protein_coding","Mtor"
"8639","protein_coding","Ctnnd2","protein_coding","Sacm1l"
"8640","protein_coding","Fto","LINE","L1Md_F3"
"8641","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Map3k1"
"8642","protein_coding","1300010F03Rik","protein_coding","Fam53b"
"8643","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Map3k1"
"8644","LINE","L1_Mus4","protein_coding","3200002M19Rik"
"8645","LTR","IAPEz-int","LTR","IAPEz-int"
"8646","protein_coding","Fut8","protein_coding","Sacm1l"
"8647","protein_coding","Sacm1l","rRNA_repeat","LSU-rRNA_Hsa"
"8648","protein_coding","Kcnb1","protein_coding","Sacm1l"
"8649","protein_coding","Dlgap1","protein_coding","Sacm1l"
"8650","LTR","IAPLTR2a","LINE","Lx3C"
"8651","protein_coding","Cdh22","protein_coding","Acaca"
"8652","LTR","IAPEz-int","LTR","IAPEz-int"
"8653","Low_complexity","GA-rich","protein_coding","Cdk14"
"8654","protein_coding","Abca15","LINE","L1Md_F2"
"8655","protein_coding","Wdr47","SINE","B1_Mus2"
"8656","protein_coding","1300010F03Rik","protein_coding","Fam53b"
"8657","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Tbc1d22a"
"8658","protein_coding","Pdcd7","LTR","IAPEz-int"
"8659","LTR","IAPLTR2a","protein_coding","Prkag2"
"8660","LTR","ORR1A2","DNA","Tigger7"
"8661","LTR","IAPEz-int","LTR","IAPEz-int"
"8662","LTR","IAPEz-int","LTR","IAPEz-int"
"8663","LTR","IAPEz-int","LTR","IAPEz-int"
"8664","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Camk1d"
"8665","protein_coding","Vgll4","protein_coding","Abcc4"
"8666","protein_coding","Cntn5","protein_coding","Anks1b"
"8667","protein_coding","Rora","protein_coding","Tmem8b"
"8668","protein_coding","Ezh2","LTR","IAPEz-int"
"8669","protein_coding","Pcnx","protein_coding","Fgfr1op"
"8670","rRNA_repeat","LSU-rRNA_Hsa","LINE","Lx2B"
"8671","protein_coding","Dnm3","protein_coding","Kcnd2"
"8672","SINE","B1_Mus1","protein_coding-noncoding","9230104L09Rik"
"8673","LTR","MERVL-int","protein_coding","Spata7"
"8674","protein_coding","Sacm1l","rRNA_repeat","LSU-rRNA_Hsa"
"8675","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"8676","protein_coding","Dmd","LINE","Lx6"
"8677","rRNA_repeat","SSU-rRNA_Hsa","LTR","IAPEz-int"
"8678","rRNA_repeat","LSU-rRNA_Hsa","LTR","IAPEz-int"
"8679","protein_coding","Sacm1l","rRNA_repeat","LSU-rRNA_Hsa"
"8680","protein_coding","Sacm1l","protein_coding","Dlgap1"
"8681","LTR","IAPLTR2a","LTR","MTE2b"
"8682","protein_coding","Map3k1","rRNA_repeat","LSU-rRNA_Hsa"
"8683","protein_coding","Stat6","protein_coding","Lrig1"
"8684","protein_coding","Sh3rf3","protein_coding","Olfr631"
"8685","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Jarid2"
"8686","protein_coding","1700081L11Rik","protein_coding","Nrxn3"
"8687","LINE","L3","protein_coding","Pde8b"
"8688","protein_coding","Gsg1","protein_coding","Ctnnal1"
"8689","protein_coding","Pdzrn4","LINE","Lx5"
"8690","protein_coding","Rbfox1","protein_coding","Cuedc1"
"8691","LTR","IAPEz-int","LTR","IAPEz-int"
"8692","lincRNA","Malat1","protein_coding","A930003A15Rik"
"8693","protein_coding","Zbtb40","protein_coding","Sacm1l"
"8694","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Jarid2"
"8695","protein_coding","Sacm1l","protein_coding","AI848100"
"8696","protein_coding","Fut8","protein_coding","Sacm1l"
"8697","LTR","MLT1B","lincRNA","5133400J02Rik"
"8698","protein_coding","Kif5b","protein_coding","Macrod2"
"8699","protein_coding","Necab1","protein_coding","Glud1"
"8700","protein_coding","Sacm1l","protein_coding","Zfp398"
"8701","LTR","IAPEz-int","LTR","IAPEz-int"
"8702","protein_coding","Cpa6","protein_coding","Ankdd1b"
"8703","LTR","IAPEz-int","LINE","L1Md_F3"
"8704","protein_coding","Opcml","protein_coding","Cdk14"
"8705","LTR","IAPEz-int","LTR","IAPEz-int"
"8706","Simple_repeat","(TC)n","LTR","IAPEY3-int"
"8707","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Jarid2"
"8708","protein_coding","Tmem132d","LTR","RLTR20C"
"8709","LTR","IAPEz-int","LTR","IAPEz-int"
"8710","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Jarid2"
"8711","LTR","IAPEz-int","LTR","IAPEz-int"
"8712","protein_coding","Grid2","protein_coding","Fam35a"
"8713","LINE","L1_Mus1","protein_coding","Sacm1l"
"8714","LINE","L1_Mm","LTR","RMER20B"
"8715","protein_coding","Setbp1","protein_coding","Clmn"
"8716","protein_coding","Fbxl2","protein_coding","Pclo"
"8717","pseudogene","3110053B16Rik","protein_coding","Tmem181b-ps"
"8718","protein_coding","Sacm1l","protein_coding","Dlgap1"
"8719","LTR","RLTRETN_Mm","LTR","IAPEz-int"
"8720","LTR","IAPEz-int","protein_coding","Osbpl3"
"8721","protein_coding","Ankdd1b","rRNA_repeat","LSU-rRNA_Hsa"
"8722","protein_coding","Vps8","protein_coding","Car10"
"8723","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"8724","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Sacm1l"
"8725","LTR","IAPEz-int","protein_coding","Nr3c2"
"8726","protein_coding","Camta1","LINE","L1Md_T"
"8727","protein_coding","Fut8","protein_coding","Sacm1l"
"8728","protein_coding","Ttc39c","LINE","L1Md_T"
"8729","protein_coding","Cntnap2","pseudogene","Gm3828"
"8730","protein_coding","Eml1","LTR","IAPEz-int"
"8731","LTR","IAPEz-int","protein_coding","Ctnna2"
"8732","LTR","IAPEz-int","protein_coding","Sacm1l"
"8733","LTR","IAPEz-int","LTR","IAPEz-int"
"8734","LTR","IAPEz-int","protein_coding","Cdh23"
"8735","LTR","IAPEz-int","protein_coding","Zfp398"
"8736","protein_coding","Dip2c","protein_coding","Poln"
"8737","LTR","IAPEz-int","LTR","IAPEz-int"
"8738","protein_coding","Fut8","protein_coding","Sacm1l"
"8739","LTR","IAPEz-int","LTR","IAPEz-int"
"8740","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"8741","LINE","Lx3_Mus","protein_coding","Fgfr2"
"8742","protein_coding","Rbms2","LTR","IAPEz-int"
"8743","LINE","L1Md_F3","LINE","L1Md_F"
"8744","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Map3k1"
"8745","DNA","Charlie22a","protein_coding","Cdh18"
"8746","protein_coding","Acly","protein_coding","Sez6l"
"8747","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","1700112E06Rik"
"8748","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Sacm1l"
"8749","protein_coding","Mtap2","protein_coding","Diap3"
"8750","LINE","L1_Mus3","protein_coding","Nrxn1"
"8751","protein_coding","Lrrtm4","protein_coding","Edc3"
"8752","LTR","IAPLTR2a","protein_coding","Trpc6"
"8753","protein_coding","Kcnj3","protein_coding","Slc16a9"
"8754","DNA","MER53","protein_coding","Gtsf1"
"8755","protein_coding","Csmd1","LINE","L1Md_F3"
"8756","Simple_repeat","(TTTG)n","protein_coding","Sacm1l"
"8757","protein_coding","BC017647","protein_coding","Csmd1"
"8758","LINE","L1Md_F","protein_coding","Wdr75"
"8759","Unknown","MurSatRep1","protein_coding","Zfp523"
"8760","protein_coding","Baz2a","LTR","IAPEz-int"
"8761","LINE","Lx2","protein_coding","Scaf8"
"8762","protein_coding","Fam65b","SINE","B3"
"8763","LTR","IAPEz-int","LTR","MTEa"
"8764","LTR","IAPEz-int","LINE","Lx7"
"8765","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Sacm1l"
"8766","protein_coding","Tra2b","protein_coding","Gm20388"
"8767","LTR","RLTRETN_Mm","LTR","IAPEz-int"
"8768","LTR","MYSERV-int","LINE","L1Md_T"
"8769","LINE","L1_Mus1","LTR","IAPEz-int"
"8770","LTR","IAPEz-int","LTR","IAPEz-int"
"8771","LTR","IAPEz-int","LTR","IAPEz-int"
"8772","SINE","B2_Mm1a","protein_coding","Gucy1a2"
"8773","LTR","IAPEz-int","LTR","IAPEz-int"
"8774","LTR","IAPEz-int","LTR","IAPEz-int"
"8775","LTR","IAPEz-int","protein_coding","Arfgap3"
"8776","SINE","B1_Mur4","protein_coding","Sacm1l"
"8777","LTR","MuRRS4-int","protein_coding","Cmc1"
"8778","protein_coding","Rhof","LINE","L1_Mus2"
"8779","LTR","IAPEz-int","LTR","IAPEz-int"
"8780","protein_coding","Ctdspl","protein_coding","Itgbl1"
"8781","protein_coding","Lrrfip1","protein_coding","Dlgap1"
"8782","protein_coding","Mpl","protein_coding","Dock9"
"8783","protein_coding","Filip1l","LTR","IAPEz-int"
"8784","protein_coding","Klrb1b","protein_coding","BC049635"
"8785","LTR","IAPEz-int","LTR","IAPEz-int"
"8786","protein_coding","Col25a1","LTR","IAPEz-int"
"8787","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Jarid2"
"8788","protein_coding","AI118078","LTR","ORR1A2"
"8789","protein_coding","Npc1","protein_coding","Adarb2"
"8790","LTR","IAPEz-int","LTR","IAPEz-int"
"8791","protein_coding","Txk","protein_coding","Rbfox1"
"8792","protein_coding","Zbtb46","protein_coding","Ankdd1b"
"8793","miRNA","mmu-miR-3963","protein_coding","Stxbp4"
"8794","protein_coding","Ctnnal1","protein_coding","Plcl1"
"8795","lincRNA","2210406O10Rik","protein_coding","Pkd1"
"8796","protein_coding","Jarid2","rRNA_repeat","LSU-rRNA_Hsa"
"8797","LTR","IAPEz-int","LTR","IAPEz-int"
"8798","protein_coding","Camta1","protein_coding","Efna5"
"8799","protein_coding","Vit","protein_coding","Ttc18"
"8800","protein_coding","Aff3","LINE","L1_Mus3"
"8801","protein_coding","Fndc1","protein_coding","Frk"
"8802","protein_coding","Sacm1l","rRNA_repeat","LSU-rRNA_Hsa"
"8803","LTR","IAPEz-int","SINE","B4"
"8804","protein_coding","Hhipl1","LTR","IAPEz-int"
"8805","rRNA_repeat","LSU-rRNA_Hsa","pseudogene","Gm12057"
"8806","protein_coding","Ube3b","LTR","MTEa"
"8807","protein_coding","Sacm1l","protein_coding","Dlgap1"
"8808","protein_coding","Ube3b","protein_coding","Rnf220"
"8809","rRNA_repeat","LSU-rRNA_Hsa","LINE","L1Md_T"
"8810","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Map3k1"
"8811","LTR","IAPEz-int","LTR","IAPEz-int"
"8812","protein_coding","Sacm1l","protein_coding","Dlgap1"
"8813","LTR","IAPEz-int","LTR","IAPEz-int"
"8814","protein_coding","Fhad1","rRNA_repeat","LSU-rRNA_Hsa"
"8815","LTR","IAPEz-int","LTR","IAPEz-int"
"8816","Simple_repeat","(CTGGGG)n","protein_coding","Sacm1l"
"8817","protein_coding","Ahnak","protein_coding","Tnk1"
"8818","protein_coding","Btn1a1","LINE","L1Md_F2"
"8819","protein_coding","Map3k1","rRNA_repeat","LSU-rRNA_Hsa"
"8820","LTR","IAPEz-int","protein_coding","Pde4d"
"8821","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","C230081A13Rik"
"8822","lincRNA","Gm12066","protein_coding","Cachd1"
"8823","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","C230081A13Rik"
"8824","lincRNA","Malat1","protein_coding","Bmpr1b"
"8825","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","C230081A13Rik"
"8826","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","C230081A13Rik"
"8827","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Ano4"
"8828","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"8829","LTR","IAPEz-int","processed_transcript","Gm11906"
"8830","LTR","IAPEz-int","LTR","IAPEz-int"
"8831","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Dlgap1"
"8832","LTR","IAPEz-int","protein_coding","Robo2"
"8833","protein_coding","Caln1","LTR","IAPEz-int"
"8834","LINE","L1_Mur1","SINE","B3"
"8835","LINE","Lx2B","protein_coding","Ankdd1b"
"8836","protein_coding","Gnat1","lincRNA","Malat1"
"8837","LTR","IAPEz-int","LTR","IAPEz-int"
"8838","protein_coding","Arhgef7","protein_coding","Rad23b"
"8839","protein_coding","Cspg5","protein_coding","Accn2"
"8840","protein_coding","B3galt5","protein_coding","Zfp398"
"8841","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Eps8"
"8842","protein_coding","Prpf40b","protein_coding","Gcn1l1"
"8843","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"8844","LTR","IAPEz-int","protein_coding","Rere"
"8845","LINE","L1_Mur3","protein_coding","Nlgn1"
"8846","rRNA_repeat","LSU-rRNA_Hsa","LTR","IAPEz-int"
"8847","LTR","IAPLTR2a","protein_coding","Prss51"
"8848","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Sacm1l"
"8849","protein_coding","Sacm1l","rRNA_repeat","LSU-rRNA_Hsa"
"8850","LTR","IAPEz-int","LTR","IAPEz-int"
"8851","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"8852","protein_coding","Sacm1l","protein_coding","St6galnac3"
"8853","protein_coding","Fut8","protein_coding","Sacm1l"
"8854","LTR","IAPEz-int","LTR","MTD"
"8855","protein_coding","Sacm1l","protein_coding","Dlgap1"
"8856","protein_coding","Sacm1l","rRNA_repeat","LSU-rRNA_Hsa"
"8857","protein_coding","Sacm1l","protein_coding","Gna14"
"8858","protein_coding","Atxn10","protein_coding","Sacm1l"
"8859","protein_coding","1300017J02Rik","LTR","IAPEz-int"
